episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,0.8369193376820157,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,0.8476703571805295,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,2.2417975255230775,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,2.2341376367354364,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.94345920873063,10.904225626885875,-0.07846716368951334,0.07846716368951334,0,10.951705623072638,11.021926372420143,11.021926372420143,-3.753877818584442,386.95447158813477,-260.68213653564453,0.049970018677413464,0.4051477089524269,-67.00475883483887,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2.0,0.0,0.08057916812898595,2,0.0,,,
10,80,10.945067815047686,10.906638536361458,-0.07685855737245717,0.07685855737245717,0,10.951705623072638,11.021926372420143,11.021926372420143,-4.514723896980286,371.6648368835449,-262.0641784667969,0.04991008015349507,1.1487333923578262,-67.43100929260254,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2.0,0.0,0.0784084863699148,2,1.0,,,
11,88,5.63929560753119,2.694898809151902,-5.888793596758578,5.888793596758578,0,5.6410050820112305,11.528089204289769,11.528089204289769,-5.637448310852051,351.7301216125488,-261.69256591796875,0.049874510150402784,2.281254529953003,-67.28518676757812,0.125,0.125,0.06474609375,0.147685546875,0.008095703125,5.5,0.875,5.8895896921433035,2,0.0,,,
12,96,5.61679694862707,2.661150820795721,-5.911292255662699,5.911292255662699,0,5.6410050820112305,11.528089204289769,11.528089204289769,-6.766107559204102,304.9159049987793,-261.0318145751953,0.049846445210278034,3.4230648279190063,-67.05172729492188,0.25,0.0,0.09130859375,0.16388671875,0.00892578125,5.5,0.875,5.920732134252579,2,1.0,8.01912511234434,6.054402485046572,-3.9294452545955387
